uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,,reference-term-source,reference-term-code,reference-term-relationship
,Hypertension,,Diagnosis,Hypertension,N/A,,,,,,,,,,,,,,,,,SNOMED CT,38341003,SAME-AS
,Atherosclerosis,,Diagnosis,Atherosclerosis,N/A,,,,,,,,,,,,,,,,,SNOMED CT,38716007,SAME-AS
,Hypertensive renal disease ,,Diagnosis,Hypertensive renal disease ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,38481006,SAME-AS
,Traumatic amputation of lower extremity,,Diagnosis,Traumatic amputation of lower extremity,N/A,,,,,,,,,,,,,,,,,SNOMED CT,95860004,SAME-AS
,Overdose of anesthetic agent ,,Diagnosis,Overdose of anesthetic agent ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,295495008,SAME-AS
,DM - Diabetes mellitus,,Diagnosis,Diabetes,N/A,,,,,,,,,,,,,,,,,SNOMED CT,73211009,SAME-AS
,TIA - Transient ischaemic attack,,Diagnosis,TIA,N/A,,,,,,,,,,,,,,,,,SNOMED CT,266257000,SAME-AS
,Stroke,,Diagnosis,Stroke,N/A,,,,,,,,,,,,,,,,,SNOMED CT,230690007,SAME-AS
,Ischemic heart disease,,Diagnosis,IHD,N/A,,,,,,,,,,,,,,,,,SNOMED CT,414545008,SAME-AS
,COPD - Chronic obstructive pulmonary disease,,Diagnosis,COPD,N/A,,,,,,,,,,,,,,,,,SNOMED CT,13645005,SAME-AS
,Asthma,,Diagnosis,Asthma,N/A,,,,,,,,,,,,,,,,,SNOMED CT,195967001,SAME-AS
,Complication of systemic hypertensive disorder,,Diagnosis,Complication of systemic hypertensive disorder,N/A,,,,,,,,,,,,,,,,,SNOMED CT,449759005,SAME-AS
,CKD - chronic kidney disease,,Diagnosis,CKD,N/A,,,,,,,,,,,,,,,,,SNOMED CT,709044004,SAME-AS
,Dementia,,Diagnosis,Dementia,N/A,,,,,,,,,,,,,,,,,SNOMED CT,52448006,SAME-AS
,Obstructive sleep apnea syndrome ,,Diagnosis,Obstructive sleep apnea syndrome ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,78275009,SAME-AS
,Hyperthyroidism ,,Diagnosis,Hyperthyroidism ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,34486009,SAME-AS
,Hyperparathyroidism ,,Diagnosis,Hyperparathyroidism ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,66999008,SAME-AS
,Hypothyroidism,,Diagnosis,Hypothyroidism,N/A,,,,,,,,,,,,,,,,,SNOMED CT,40930008,SAME-AS
,Coarctation of aorta,,Diagnosis,Coarctation of aorta,N/A,,,,,,,,,,,,,,,,,SNOMED CT,7305005,SAME-AS
,Hearing loss ,,Diagnosis,Hearing loss ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,15188001,SAME-AS
,Beta-Blocking agent,,Drug,Beta-Blocking agent,N/A,,,,,,,,,,,,,,,,,SNOMED CT,33252009,SAME-AS
,Calcium channel blocker,,Drug,Calcium channel blocker,N/A,,,,,,,,,,,,,,,,,SNOMED CT,373304005,SAME-AS
,ACE inhibitor agent ,,Drug,ACE inhibitor agent ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,41549009,SAME-AS
,Thiazide diuretic,,Drug,Thiazide diuretic,N/A,,,,,,,,,,,,,,,,,SNOMED CT,45518007,SAME-AS
,Angiotensin II receptor antagonist,,Drug,Angiotensin II receptor antagonist,N/A,,,,,,,,,,,,,,,,,SNOMED CT,96308008,SAME-AS
,Hydrochlorothiazide 25 mg oral tablet,,Drug,Hydrochlorothiazide 25 mg oral tablet,N/A,,,,,,,,,,,,,,,,,SNOMED CT,376209006,SAME-AS
,Amlodipine 5mg orally disintegrating tablet ,,Drug,Amlodipine 5mg orally disintegrating tablet ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,429152001,SAME-AS
,Atenolol 50 mg oral tablet,,Drug,Atenolol 50 mg oral tablet,N/A,,,,,,,,,,,,,,,,,SNOMED CT,318420003,SAME-AS
,Hydrochlorothiazide,,Drug,Hydrochlorothiazide,N/A,,,,,,,,,,,,,,,,,SNOMED CT,91667005,SAME-AS
,Calcium Chanel Blocker,,Drug,Calcium Chanel Blocker,N/A,,,,,,,,,,,,,,,,,SNOMED CT,48698004,SAME-AS
,Nitroglycerin,,Drug,Nitroglycerin,N/A,,,,,,,,,,,,,,,,,SNOMED CT,71759000,SAME-AS
,Digoxin,,Drug,Digoxin,N/A,,,,,,,,,,,,,,,,,SNOMED CT,796001,SAME-AS
,Body Weight,,Finding,Body Weight,Numeric,Kg,,,YES,,,,,,,,,,,,,SNOMED CT,27113001,SAME-AS
,Body Height,,Finding,Body Height,Numeric,Cm,,,YES,,,,,,,,,,,,,SNOMED CT,50373000,SAME-AS
,Body Mass Index,,Finding,BMI,Numeric,,,,YES,,Weight: body mass,,,,,,,,,,,SNOMED CT,60621009,SAME-AS
,Substance of Abuse,,Finding,Substance of Abuse,Coded,,,,,,,Snuff Tobacco,Cigarette Smoking Tobacco,Chewing Tobacco,,,,,,,,SNOMED CT,312417001,SAME-AS
,Alcohol Intake,,Finding,Alcohol Intake,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,365967005,SAME-AS
,Date of Diagnosis,,Finding,Date of Diagnosis,Date,,,,,,,,,,,,,,,,,SNOMED CT,432213005,SAME-AS
,Cataract of Left Eye,,Finding,Cataract of Left Eye,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,418319009,SAME-AS
,Cataract of Right Eye,,Finding,Cataract of Right Eye,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,418567000,SAME-AS
,Waist/Hip Ratio,,Finding,W/H Ratio,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,248367009,SAME-AS
,Waist Circumference ,,Finding,Waist circumference ,Numeric,Cm,,,YES,,,,,,,,,,,,,SNOMED CT,276361009,SAME-AS
,Hip Circumference,,Finding,Hip Circumference,Numeric,Cm,,,YES,,,,,,,,,,,,,SNOMED CT,284472007,SAME-AS
,Pulse,,Finding,Pulse,Numeric,beats/min,,,,,,,,,,,,,,,,SNOMED CT,8499008,SAME-AS
,Body Temperature,,Finding,Temperature,Numeric,F,,,YES,,,,,,,,,,,,,SNOMED CT,309646008,SAME-AS
,Systolic Blood Pressure,,Finding,Systolic BP,Numeric,mmHg,,,YES,,,,,,,,,,,,,SNOMED CT,163030003,SAME-AS
,Diastolic Blood Pressure,,Finding,Diastolic BP,Numeric,mmHg,,,YES,,,,,,,,,,,,,SNOMED CT,163031004,SAME-AS
,Pre Hypertension,,Finding,Pre Hypertension,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,702817009,SAME-AS
,Dietary Sodium intake,,Finding,Sodium intake,Numeric,mg,,,YES,,,,,,,,,,,,,SNOMED CT,267110002,SAME-AS
,Hypertension Screening Status,,Finding,Hypertension screening status,N/A,,,,,,,,,,,,,,,,,SNOMED CT,308429009,SAME-AS
,Family History,,Finding,Family History,Coded,,,,,,,Family History: Stroke,Family History: Hypertension,Family History:Diabetes Mellitus,Family History:Ischemic Heart Disease,,,,,,,SNOMED CT,57177007,SAME-AS
,Adverse Drug Reactions,,Finding,ADRs,Coded,,,,,,,Foot Edema,Cramp,Nausea,Vomiting,Itching,General Weekness,Falls,Headache,Tingling,Constipation,SNOMED CT,62014003,SAME-AS
,Co-morbidities,,Finding,Co-morbidities,Coded,,,,,,,DM - Diabetes mellitus,TIA - Transient ischaemic attack,Stroke,Ischemic heart disease,COPD - Chronic obstructive pulmonary disease,Asthma,CKD - chronic kidney disease,Dementia,Hearing loss ,,SNOMED CT,398192003,SAME-AS
,Essential Hypertension,,Finding,Essential Hypertension,Text,,,,,,Primary Hypertension,,,,,,,,,,,SNOMED CT,59621000,SAME-AS
,Secondary Hypertension,,Finding,Secondary Hypertension,Coded,,,,,,,Obstructive sleep apnea syndrome ,Hyperthyroidism ,Hyperparathyroidism ,Hypothyroidism,Coarctation of aorta,,,,,,SNOMED CT,31992008,SAME-AS
,Lack of physical activity,,Finding,Underactivity,N/A,,,,,,Hypokinesia,,,,,,,,,,,SNOMED CT,43994002,SAME-AS
,Overweight,,Finding,Overweight,N/A,,,,,,,,,,,,,,,,,SNOMED CT,238131007,SAME-AS
,Is Patient Pregnant,,Finding,Is Patient Pregnant,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,77386006,SAME-AS
,Difficulty in Breathing,,Finding,Difficulty in Breathing,Boolean,,,,,,,,,,,,,,,,,SNOMED CT,230145002,SAME-AS
,Advice to change sodium intake,,Procedure,Advice to change sodium intake,N/A,,,,,,,,,,,,,,,,,SNOMED CT,289176001,SAME-AS
,Tobacco use cessation education,,Procedure,Tobacco use cessation education,N/A,,,,,,,,,,,,,,,,,SNOMED CT,702388001,SAME-AS
,Auscultation ,,Procedure,Auscultation ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,37931006,SAME-AS
,Electrocardiographic ,,Procedure,EKG,N/A,,,,,,,,,,,,,,,,,SNOMED CT,29303009,SAME-AS
,Chest X-ray,,Procedure,Chest X-ray,N/A,,,,,,,,,,,,,,,,,SNOMED CT,399208008,SAME-AS
,Echocardiography,,Procedure,Echocardiography,N/A,,,,,,,,,,,,,,,,,SNOMED CT,40701008,SAME-AS
,Random blood glucose ,,LabTest,Random blood glucose ,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,271061004,SAME-AS
,Urine pigment analysis,,LabTest,Urine pigment analysis,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,413024003,SAME-AS
,Serum creatinine,,LabTest,Serum creatinine,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,113075003,SAME-AS
,Serum sodium level,,LabTest,Serum sodium level,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,104934005,SAME-AS
,Serum potassium level,,LabTest,Serum potassium level,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,271236005,SAME-AS
,Urine screening for glucose,,LabTest,Urine screening for glucose,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,268556000,SAME-AS
,Total Cholesterol,,LabTest,Total Cholesterol,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,121868005,SAME-AS
,Triglycerides measurement ,,LabTest,Triglycerides measurement ,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,14740000,SAME-AS
,HDL cholesterol measurement,,LabTest,HDL cholesterol measurement,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,28036006,SAME-AS
,LDL cholesterol measurement,,LabTest,LDL cholesterol measurement,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,113079009,SAME-AS
,VLDL cholesterol measurement,,LabTest,VLDL cholesterol measurement,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,104585005,SAME-AS
,Serum LDL/HDL ratio,,LabTest,Serum LDL/HDL ratio,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,314012003,SAME-AS
,Total cholesterol:HDL ratio,,LabTest,Total cholesterol:HDL ratio,Numeric,,,,YES,,,,,,,,,,,,,SNOMED CT,166842003,SAME-AS
